title,item_price,shipping,total,url
"Hasbro Transformers Studio Series 80 Deluxe Class Brawn Bumblebee Movie Complete
Opens in a new window or tab",25.59,0.0,25.59,https://www.ebay.com/itm/406558152242?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW7ZKYYB2Z4K2D2MNFRZ&hash=item5ea8c11632%3Ag%3AFSgAAeSwc1ppWzg3&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xC1S9CVAJBRs1modaG3jpSPZIh2A0G48xFSe2lqXpp%2F8SVSDB3FeI6FRfVoJEu8Qw43scFTFxKb%2FIsblAwBSs4osLz799dUCcnvkj5sFi7mnxnaGItztRCffi2p6WtsKFafqugKUQfVfdXjLP1Fs9286NEcknB1qDbwFhmNznvG8f1DPuIV9LGP2msN29nLQqieLjRY1k9LyF%2FloKuueBoZQ3nkvzkGj3K%2Fk6DMjC4sFJlmkKCKtclpBIm8uB7wq3NAOuBxRBF972rAMW1LwEk9%2BS1%2FD5BdQRJvJYTE4ra1P8ZWatYlECKIFn6DYPT5mU5LPjQyKR1zu5BBxQQm4%2Fxk%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Transformers Studio Series Brawn complete Hasbro 80 Deluxe Bumblebee movie
Opens in a new window or tab",17.99,0.0,17.99,https://www.ebay.com/itm/366016895794?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW7ZC753GMNFYZ2S5T8J&hash=item55384e9b32%3Ag%3AERwAAOSw3oRnUH9S&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAYr2Bg0bcESEvK8m58VUkV7TwAfH79eLTyfl0vFndBAEtlUOECERYxs0D14UXf6jikqo2ben%2BVA%2BkWKboyP3vFc4IP0Ls3ZkNYKNsvfZTDdutg0V2cW%2FDX62gCcliDkn5FsSYU9eCN3%2BzoiXjAbzZU%2BSRXd%2FkwLvMOHG0hqitSVXeZSGUkRo%2FKP%2B8VlQZckf%2BX5nip2Qnkn%2Bx3X8xTxgQsEOsRRlMON4OozZFMA7kdnq7zlrkzRM8tnc9I5VR3%2F89aWpFLiukYyf1l%2BIisWOVfrGB9saYZhZyEWvXnrLsHOw%3D%3D%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Transformers Studio Series 80 Brawn Bumblebee movie - no weapons
Opens in a new window or tab",12.13,0.0,12.13,https://www.ebay.com/itm/116879633276?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW801QEFRWB1FF0C4DHA&hash=item1b3691ab7c%3Ag%3A6TAAAeSwoVBpF%7EN3&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAgtbvl%2BeFMsf3Lx6HO32DGGY0U83KVY58jpVLN2q%2BFWWGyKyuF4gdyGIjVlrM7uUczbhX8%2FQ5J2XMJi1IQjRhj7y2EgsZQZ38VUO3XIlip72ieLU%2BxpowjQJ4XpYzlQh0iv3BYKzs%2FZo6kAniv4%2Fahbw9IcyeaUSyxyu9tZS1WhUfkWCvdEAxvZgdrRFOpyoG5enz5sVVSWs8vTKwhPlSdmMu%2BqVcv%2BIf1fZFFuhdwmkVojAA8C9SGICBGlkusX0OWP%2FHKtDyMakA7Scg3ZeSMR%2B66z842FIBc6x1wd28meg%3D%3D%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Brawn - Transformers Studio Series 80 Bumblebee Movie Deluxe Class
Opens in a new window or tab",9.0,0.0,9.0,https://www.ebay.com/itm/267496142383?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW80NNECYPYRRXYV5ZH7&hash=item3e4803362f%3Ag%3AkJAAAOSwL55nXyUk&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBnKkcvp7F7iL47yu8JTTDSd4gcRd182iefnQ%2BI2YHqrHykft%2BW6fFVvYz5f2JULA0NCAYj6lTsEO51aPAEAHGbUC0mXX9MV0kggsYg1XEsdCyNzRH4%2FjpWFQzUziq%2Bo0bCwv4Y5lw%2FWPVte0Xf9VHB4jodwh2J7qJQXH%2B8QqOaxCgDD0iBWZVUU3oYtjsoaidMfTX4HCQteHJgKbSfvScCmMYycg%2Fv4e8wFaORd68sJhP4xA1H7kuvR%2FaWshyxroKJ%2BgXbJBCgO22ZIRD8s9%2BpnzptmPG33x%2Fbwz0Eeavsbw%3D%3D%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Hasbro Transformers Studio Series 80 Deluxe Bumblebee Movie Brawn
Opens in a new window or tab",10.0,0.0,10.0,https://www.ebay.com/itm/389546150114?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW80K50BSCQ0QG49THCS&hash=item5ab2c288e2%3Ag%3AIYAAAeSwYippeNf9&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCTcNazZS1VHsTVp8gnwKMiowwflf55qUD9quebpHnrIW%2B%2FkhnUcnJjfjGy7GCRty2snLBa9l%2F2%2BSW5u%2B8%2BJNTpRlatFdI%2B5Q6PkJHSj8%2FbRPh9WwKWxGZ1L57U%2BTJ%2B5m8Sob5cxiNezJFHCWd21jJD9K6AbyC33Rku%2F1e34hEp9FY6%2F3pt4IuvdXzFqQBvYGEOhYGLURhLtLBBFaFoGqt2EiXR%2Be%2FFjzW%2BGOhube4v4zOoFH2dbmtwebkBAC5QyHOT57kkcszt3OAXxG4nsiilzVgqEJMdYH8qGsBVWmpoFg%3D%3D%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Hasbro Transformers Studio Series 80 Bumblebee Brawn 4.5"" Action Figure
Opens in a new window or tab",11.99,0.0,11.99,https://www.ebay.com/itm/326869120776?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80WSS0W8ANT5D52GH1&hash=item4c1aeaf708%3Ag%3AQo4AAeSwbd9pF7lV&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCg5%2Bq96HHvdtYWPKzlvb7ldUQ2sDE5M43AHs3edlHtUY%2FweDCjjLNlPRC1tm5cJPNF%2B16YUu9A6k%2FwSZIXkuD6c42SrlAjag9ob4lnPrVEBoGHIdC6FE%2BKi%2FHyLXO8laYV8gnXMcz%2BWPNBaBX9ayrjYVjyGbYVjYkuCg27Tc1ZmqG1R7lEQVPc%2BC%2FVYLlfnGqwyzkvTT8eiZOEJ4O8oZof5m%2BuZhGOEQindwS7aWCB2FYH8uzdr9eXKGiVQbMRIducpV5MtoQU%2Bob%2BDDFFdrOAdQpUaGWdi4yliCS4mLTPO7pM9eRynLnGJB8dvToGTZGECa8qJ%2Fxd%2FjrDt6D2eRO2%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Hasbro Transformers Studio Series 80 Bumblebee Brawn 4.5"" Action Figure (F3172)
Opens in a new window or tab",9.99,0.0,9.99,https://www.ebay.com/itm/197810790885?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80VXYV3ETSJPYNBEHR&hash=item2e0e7121e5%3Ag%3AeUIAAeSwrKtpAS96&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xAcQ3XFfT%2FEsbfxe3phPMi%2BwIeB0iRdCpoIL5%2BO3B%2FRskprMNCo5g5rRjiRjvsbcmO01IbOimgM9ULQOySpW0f%2F1LxvntiAOwbm3iG9HY42CaClELJzl4%2BLGB5nTVzvMw5y%2BJeBpmD3tTO%2BtiFN1GtGX2IkTyOck6kwHbLRjmzRD3aWcMVR%2B6yCt8UBkopjiPWscf9QOhxKn%2FlgQX0oZj4jMRguyqtFqrWd%2BZF8qncBc4RBNQKHWv3x9Z70WkPW83KzwY1qK6JNdyPKBYYqJHltZbscr%2BzA6d2NG5L2OaIK3raLDQSoJb5Q%2BDX%2FVItwGTDNkD78AVB%2ByKrsRRYKxyzT%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"PREOWNED TRANSFORMERS STUDIO SERIES 80 BUMBLEBEE MOVIE BRAWN BAC
Opens in a new window or tab",16.95,0.0,16.95,https://www.ebay.com/itm/358030436180?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80GT29XFC60XNHWW2G&hash=item535c46e754%3Ag%3AFOMAAeSwA0BpHNB8&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCQPVfgzB3PSF9s1qIQNECXzKhyGihwqzsIptdbaIjJq0UXN491pUsSEmcEWKb47mK9yGoF0OzcSqwyl7%2Fj8o2VyDNKvi--YwUL%2F8ZAgS2UmGbc0KVGf%2FrTFPRO5Tj3ESXXyuDX8VLDlVPBEzKLVeSL7vA2Rwrx6mKoPCpyQxcRgml4MpXahbWSOEoGPv0%2FklkpdakFKfvzXIMl1%2FbrNuI1BGWDH4fQJ0pUvCVOrGPO7URVllKzVDJhGP3WtG3wnVqY%2FlGGkwEwmGJDCKbQfaeWwNXh%2Bx3R1MLjkjSUgqOpc7iosvkzCO5w5APtx5EbkGu25%2BC%2B5OwgBxcC1ADuEL4b%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Transformers Studio Series SS-80 Bumblebee Movie Deluxe Class Brawn
Opens in a new window or tab",18.0,0.0,18.0,https://www.ebay.com/itm/127690172122?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80JV4RH3AC76DPZV62&hash=item1dbaed66da%3Ag%3AOLsAAeSw%7EvRplLzP&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCy8uSnagCB9OGZEvKYEECoY7VmJCdj5ZJme1vmsOpRG6keuDhCV01DBCOmFdE81D975jdYvEzFa8vsK4LeumbExhHkRwjkqkz3rsrv99fM3s2%2BM%2B4EwGmhlIh%2Bx82Y1ZuczWn0RZQTD1tdr0kCJbXKCtWGe5P3i4OtA6QW9SNstLJG8FiLL%2BMQykuMnwDJY%2BDMxJqKEh3%2FvXuIz9CIRD25ksnF%2BlpAge%2FtjdulPCb%2BTvYkn98j0D%2BeRV7LfWXBBxQe07TbecBerIPKNDqxq4IWCLIuDjcclxhjUPdUgSHp4Q%3D%3D%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Transformers Studio Series SS-80 Bumblebee Movie Brawn
Opens in a new window or tab",12.0,0.0,12.0,https://www.ebay.com/itm/317640152730?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80W2QVT3K85Q8ZB1CW&hash=item49f4d4169a%3Ag%3AF0sAAeSwCyppN4KH&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDFtaJx84pAH4iTpSAXTHmahH3tdBDs9lhNdaZIONu%2BGbQGwQ2JFaR%2FYvrEXqs8tQwu0rD9iC6ApXK0yW9XV1HnWSunew9qGwy0Itet7UqS5uyHZHcw7Z2RZHWnmULXFg8soOenoPRaFEg--%2BCj3uYUcoBF%2F0OGm9GDsvY5cOmPlo6r751YpIRZOBiHqcrGzOnFEmiFoBQiwPU3Wl3EHRVfqjM6IwS3BvRQspzyQ1UzNZ4Ti8gRDz8IuH74LZ7LFus7whmvM4%2Flaw6gqRsYTNAT%2BJONXvqYgewtcjaeJugF5Zm%2FejQIkGd%2F7U4oup3BM2i4qFZN6xSrXUlUoMn9zL8J%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
